unit_id,average_baseline_price,number_of_bookings,property_id,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_type,property_design,lat,lng,area_id,area_name
UN1999,2875903.2390887444,55,PR0370,3,3,3,4,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,4,-7.7287222,110.3845639,A0038,Sinduharjo
UN2000,877558.6258888888,45,PR0371,1,1,1,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,4,1,-8.709399,115.586846,A0020,Nusa Penida
UN2001,575502.6518163573,295,PR0371,1,1,1,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,4,1,-8.709399,115.586846,A0020,Nusa Penida
UN2002,893484.5435984848,44,PR0371,1,1,1,2,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,4,1,-8.709399,115.586846,A0020,Nusa Penida
UN2003,663537.5125869565,230,PR0371,1,1,1,2,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,4,1,-8.709399,115.586846,A0020,Nusa Penida
UN2014,638629.4955555554,6,PR0327,2,2,2,6,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,4,4,-7.7606247,110.3715589,A0001,Yogyakarta
UN2028,345267.64151515136,11,PR0380,1,1,1,2,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,4,4,,,A0020,Nusa Penida
UN2031,351025.4986904761,7,PR0380,1,1,1,2,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,4,4,,,A0020,Nusa Penida
UN2046,522008.0,5,PR0383,1,1,1,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,4,3,-8.688048,115.579662,A0020,Nusa Penida
UN2047,535703.473,5,PR0383,1,1,1,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,4,3,-8.688048,115.579662,A0020,Nusa Penida
UN2050,513390.59173076914,13,PR0383,2,2,2,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,4,3,-8.688048,115.579662,A0020,Nusa Penida
UN2052,412599.00698005693,117,PR0383,2,1,2,4,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,4,3,-8.688048,115.579662,A0020,Nusa Penida
UN2053,399016.86202160484,54,PR0383,2,1,2,4,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,4,3,-8.688048,115.579662,A0020,Nusa Penida
UN2057,543986.2177777777,27,PR0385,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,4,1,-8.6886037,115.5769353,A0020,Nusa Penida
UN2058,543402.3896296296,27,PR0385,1,1,1,2,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,4,1,-8.6886037,115.5769353,A0020,Nusa Penida
UN2059,482778.65308333334,16,PR0385,1,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,4,1,-8.6886037,115.5769353,A0020,Nusa Penida
UN2060,355109.250269151,23,PR0385,1,1,1,2,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,4,1,-8.6886037,115.5769353,A0020,Nusa Penida
UN2062,227883.71611111084,6,PR0385,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,4,1,-8.6886037,115.5769353,A0020,Nusa Penida
UN2064,219289.6096666666,5,PR0385,1,1,1,2,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,4,1,-8.6886037,115.5769353,A0020,Nusa Penida
UN2153,668114.5047080271,188,PR0404,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,4,4,-8.654761,115.13041,A0003,Canggu
UN2160,634361.2811311104,167,PR0404,1,1,1,2,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,4,4,-8.654761,115.13041,A0003,Canggu
UN2192,486856.8572944444,210,PR0345,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,4,1,-8.6788807,115.4900163,A0020,Nusa Penida
UN2193,494737.94625,170,PR0345,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,4,1,-8.6788807,115.4900163,A0020,Nusa Penida
